,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1480,LMGF,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2011-01-13,300162.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,雷曼股份,CS
1481,XMZT,UNKNOWN,0000-00-00,XSHE,C36,汽车制造业,2010-02-09,002355.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,兴民智通,CS
1482,LZLJ,MainBoard,0000-00-00,XSHE,C15,酒、饮料和精制茶制造业,1994-05-09,000568.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,泸州老窖,CS
1483,JSY,MainBoard,0000-00-00,XSHG,C15,酒、饮料和精制茶制造业,2014-07-03,603369.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,今世缘,CS
1484,FWWL,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,2017-01-13,603039.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,泛微网络,CS
1485,ZHKJ,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1997-07-10,000777.XSHE,100.0,Industrials,工业,Normal,Active,中核科技,CS
1486,HQJT,MainBoard,0000-00-00,XSHG,G54,道路运输业,2016-07-12,603069.XSHG,100.0,Industrials,工业,Normal,Active,海汽集团,CS
1487,SHHJ,MainBoard,0000-00-00,XSHG,N77,生态保护和环境治理业,2017-03-31,601200.XSHG,100.0,Utilities,公用事业,Normal,Active,上海环境,CS
1488,XBZY,UNKNOWN,0000-00-00,XSHE,C27,医药制造业,2010-04-16,002390.XSHE,100.0,HealthCare,医疗保健,Normal,Active,信邦制药,CS
1489,SLK,GEM,0000-00-00,XSHE,C35,专用设备制造业,2014-01-29,300382.XSHE,100.0,Industrials,工业,Normal,Active,斯莱克,CS
1490,LSKJ,GEM,0000-00-00,XSHE,C36,汽车制造业,2017-07-25,300680.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,隆盛科技,CS
1491,KLYL,GEM,0000-00-00,XSHE,C35,专用设备制造业,2017-04-06,300633.XSHE,100.0,HealthCare,医疗保健,Normal,Active,开立医疗,CS
1492,HLXC,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1996-10-23,000619.XSHE,100.0,Industrials,工业,Normal,Active,海螺型材,CS
1493,HMQC,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1994-08-08,000572.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,海马汽车,CS
1494,AND,UNKNOWN,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2007-05-30,002136.XSHE,100.0,Materials,原材料,Normal,Active,安纳达,CS
1495,S*STQF,MainBoard,0000-00-00,XSHG,K70,房地产业,1996-08-16,600733.XSHG,100.0,Financials,金融,StarST,Active,S*ST前锋,CS
1496,ZHNY,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,1995-02-06,600869.XSHG,100.0,Industrials,工业,Normal,Active,智慧能源,CS
